restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url,p_safe_pick
r_dc87a9,50.0,0.3354784013546265,0.0,0.62,4.8775158296782335,4.790963594513147,0.0,4.8775158296782335,South of the Clouds云之南upper westside,Manhattan,Chinese,NYC,ChIJUSdTivr3wokRQP6vO1vu_Zc,"1187 Amsterdam Ave, New York, NY 10027",4.8,79,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepA3ZpK4MRi24HMHyrVCUNJLl_PmUU4-UFkPsSr914wyII9uRNUlqA2tQfwh4hMpnEq8G-tVNR_UjCf8Nf7cQN21nHVud4EyvekwjI4t1ByTbj9RW-xsI0ZqZnrUWS8AkKHDzbzLNvpn0o=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=South%20of%20the%20Clouds%E4%BA%91%E4%B9%8B%E5%8D%97upper%20westside&query_place_id=ChIJUSdTivr3wokRQP6vO1vu_Zc,0.9180263553818174
r_f0187a,50.0,0.28358044005500727,0.0,0.74,4.876376724535929,4.7697677919967445,0.0,4.876376724535929,Luciano’s Pizza,East Bronx,Pizza,NYC,ChIJIyiwrqX0wokR1x1J2xWMNsg,"1005 Morris Park Ave # A, Bronx, NY 10462",4.7,276,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepInCwHEiTpbYb4zW-_w8abtjgdkcqgYCR0558tlmCEspveuTMIe5aYLHQWEGvFqfeJsppob8bZSGxTGGs4graI0SoAH0f6P3yQfKACZGG_rvuKy8B7yIlbqmOAm3a0HkLqj9uu=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Luciano%E2%80%99s%20Pizza&query_place_id=ChIJIyiwrqX0wokR1x1J2xWMNsg,0.9172639989085464
r_5a8d53,50.0,0.18451601827865116,0.0,0.94,4.8752959732750085,4.832013733444247,0.0,4.8752959732750085,Roseta Halal Grill,Astoria,Halal,NYC,ChIJX1Q_jXhfwokRbYciJdt26sY,"22-01 31st St, Astoria, NY 11105",4.8,84,http://t0.gstatic.com/images?q=tbn:ANd9GcTcDMAONuF7Lv1SLFpf9PMtKqCuT70yidy1nkqCovX_P-dD2p3v,https://www.google.com/maps/search/?api=1&query=Roseta%20Halal%20Grill&query_place_id=ChIJX1Q_jXhfwokRbYciJdt26sY,0.9165406963009475
r_fbb4ec,50.0,0.30964709218444175,0.0,0.66,4.856121373983455,4.803798317797958,0.0,4.856121373983455,121 Master Hong Noodle House (洪面道),Flushing,Restaurant,NYC,ChIJRR6bTfphwokRfJqMiSupIS4,"37-11 Main Street Food Court #9, Flushing, NY 11354",4.9,75,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_OpHB29-r4L8125OtXOZOlNCXhsxUxOYq_a0cvM5RCwb0SKhvyzialjsNi_5wl5fn_4EB6HBeWlRtlqsuWrqljiWLuuveDmgWyZVibFPr5nflE1ANvEbZe2HNriZpXdnt7g2bfOqeDoT-=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=121%20Master%20Hong%20Noodle%20House%20(%E6%B4%AA%E9%9D%A2%E9%81%93)&query_place_id=ChIJRR6bTfphwokRfJqMiSupIS4,0.903707921388951
r_44d68c,50.0,0.23905807102147134,0.0,0.84,4.852978324486013,4.8359227201202035,0.0,4.852978324486013,Sugoi Ramen & Izakaya,Manhattan,Ramen,NYC,ChIJOXYs3_X3wokRlWmLcclMwO8,"1621 Lexington Ave, New York, NY 10029",4.9,91,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqkeDSee69rdH3rM0uzpWgw_I6fpJ3K9c9wTUlOtu2-kVPWu7Xg6nPsygIWhUW_ueDYHfSvFfbFfPAYaX3AxZjoliF9f5NEwlYKo0IHtxaou7JCnNShGjfgOJrihWbQ_d0AYNBjsUwu_BCf=w408-h510-k-no,https://www.google.com/maps/search/?api=1&query=Sugoi%20Ramen%20%26%20Izakaya&query_place_id=ChIJOXYs3_X3wokRlWmLcclMwO8,0.9016044069360729
r_d87a8a,50.0,0.24517288400528117,0.0,0.82,4.852537815434929,4.835927633885731,0.0,4.852537815434929,Pranam Restaurant & Bar,Astoria,Indian,NYC,ChIJJyDIY_5fwokRsGZh1TaP5v8,"45-15 28th Ave, Queens, NY 11103",4.9,428,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerOvqwWzoDx81EfmVo4Y1gbEAq03he66Ra1WOmJYJNnsM1F8-AiG7XfOMxD7KHg63n4xw8WW8hdU8Z_rJr3yeKIxjYRNICK3_Ap6D-457F16t91En9BndRU7300GaA-YVzB-iM=w408-h302-k-no,https://www.google.com/maps/search/?api=1&query=Pranam%20Restaurant%20%26%20Bar&query_place_id=ChIJJyDIY_5fwokRsGZh1TaP5v8,0.9013095922485113
r_9321e0,50.0,0.28571706700943894,0.0,0.76,4.871952465995146,4.91121916649914,0.039266700503993945,4.852319115743149,The Handpulled Noodle | Central Harlem,Manhattan,Chinese,NYC,ChIJ7UPihKr3wokRg3ddiecrdXQ,"370 Malcolm X Blvd, New York, NY 10027",4.5,1061,https://lh3.googleusercontent.com/gps-cs-s/AHVAweomzhOTVWWaTmTr50ZQ2LiNZeBGdboTTPd2Jaayef_3F3yttqVtlflVKPpvi49r8bY6gzlRxyLY1KvLiHKcndd2Kl6AU3DJfFK0QkGmRn4PRKRXLbLjBV8WbLIGB29OVXZHvrOi=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=The%20Handpulled%20Noodle%20%7C%20Central%20Harlem&query_place_id=ChIJ7UPihKr3wokRg3ddiecrdXQ,0.901163225491362
r_4e6e0b,50.0,0.2758151905331119,0.02,0.76,4.848581043911328,4.781497278446693,0.0,4.848581043911328,JiBeiChuan Rice Noodle & Ramen,Bayside,Chinese,NYC,ChIJ1ULyVcFhwokRdimG0u181Ks,"42-26 Bell Blvd, Bayside, NY 11361",4.8,439,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerlRg31a83lUpIUizAJuiZy2IdbWB23hhgwmWDQcPjouQUi_HcKEty9JiStn3J_a_Y38FN0nl6YS6EJef3Qlvbaoh1H65I7lW6HNkQ7JIy1LBZ3yWVSUOOH5bibu9rCol4IFya6xA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=JiBeiChuan%20Rice%20Noodle%20%26%20Ramen&query_place_id=ChIJ1ULyVcFhwokRdimG0u181Ks,0.8986614869312368
r_f5b4a3,50.0,0.1786425591699169,0.0,0.96,4.8512817337406435,4.861896194419962,0.01061446067931815,4.845974503400985,Nana Good Eats,Whitestone,Mediterranean,NYC,ChIJ3V5aL9OLwokR19ojomHJkOY,"152-67A 10th Avenue Whitestone Plaza, 153-01 10th Ave, Whitestone, NY 11357",4.7,414,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBAZ22vR1hdN64-j9dSmf3G_vVbiiKfR0-1OXcjeqxNTlGF6Vtu1d54qW_7yWgvvFFoRXqmhxWu3cNnZX-9jSF2CBWbe50afuZOrasb4xMsOsRqTa3s5OzLyFLpOpDEBJt_sR1=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Nana%20Good%20Eats&query_place_id=ChIJ3V5aL9OLwokR19ojomHJkOY,0.8969170359959325
r_3a9e3c,50.0,0.2440747785991919,0.0,0.82,4.843565081156876,4.838848898846847,0.0,4.843565081156876,Lava Rock Kitchen,East Bronx,Italian,NYC,ChIJYZtTKRf1wokRhIdo4iq_o1o,"2119 Starling Ave 2nd Floor, Bronx, NY 10462",4.6,231,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq7v5o7ZqwRAK5WPiB5RxDBZtD_0r1U2ImgpzlCyBkB8T_0STiwTkZUUvN5CiP468oCBFk3MqNEN6-1brziiJfE8YSpCST8CvZWpyjRzK22g3XDbESnRKNHEp82o7bF8dCDsYkA=w408-h256-k-no,https://www.google.com/maps/search/?api=1&query=Lava%20Rock%20Kitchen&query_place_id=ChIJYZtTKRf1wokRhIdo4iq_o1o,0.8953045082525116
