restaurant_id,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url
r_6670e7,Montespino,East Bronx,Restaurant,NYC,ChIJKTBo5_D0wokRRD3Z6MpV0iY,"1309 Bronx River Ave, Bronx, NY 10472",4.5,95,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoO4r4oXkXaJnUOULAThxsiFb63cKnhKE9mbWBSpFPVtvk2pzqUgGZvPwQHU1c90tQxczVW_zNzPlwt-nPmIxRWHhhUWtKUb7iZ8cy2Nr-3KcN8ZG3RNE-kCOy7AM2srVVfNTvv=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Montespino&query_place_id=ChIJKTBo5_D0wokRRD3Z6MpV0iY
r_d87a8a,Pranam Restaurant & Bar,Astoria,Indian,NYC,ChIJJyDIY_5fwokRsGZh1TaP5v8,"45-15 28th Ave, Queens, NY 11103",4.9,428,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerOvqwWzoDx81EfmVo4Y1gbEAq03he66Ra1WOmJYJNnsM1F8-AiG7XfOMxD7KHg63n4xw8WW8hdU8Z_rJr3yeKIxjYRNICK3_Ap6D-457F16t91En9BndRU7300GaA-YVzB-iM=w408-h302-k-no,https://www.google.com/maps/search/?api=1&query=Pranam%20Restaurant%20%26%20Bar&query_place_id=ChIJJyDIY_5fwokRsGZh1TaP5v8
r_cd0d2b,The BLVD,East Bronx,Restaurant,NYC,ChIJwWp0pnSLwokRvl6QQCLBxGo,"2918 Bruckner Blvd, Bronx, NY 10465",4.7,67,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxSeeEwe3AULuH9dXNt8i9YoDvdGPtrj_vqnu31KyIMbLwWAH0NvvJ2AOelzZGqaCuVj7pa_0iPeU2vZDV8PrVytT06lGNrheES1HXyWs1GB6ABNier2D_is8upcZR6X-6lrUltbg5gVHg=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=The%20BLVD&query_place_id=ChIJwWp0pnSLwokRvl6QQCLBxGo
r_4f347e,Bistro Eloise - French Restaurant,East Elmhurst,French,NYC,ChIJaW0AKldfwokRZh8-LdwLkkY,"75-57 31st Ave, East Elmhurst, NY 11370",4.6,576,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhU5fux9YWDCZEeqbK54geakhvHOGTCNYgKh3c8Ee1NTD1yBS-3_tW3IJB1GfMMNdjZUqklgBqCoI6TINSmlKr2JXxb8ngWNrDRcng8Fpjo5VlVpMndyRO3Stk1oQmMqZB40mG4A=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Bistro%20Eloise%20-%20French%20Restaurant&query_place_id=ChIJaW0AKldfwokRZh8-LdwLkkY
r_4d533d,Boca - Chicken Cafe,West Bronx,Restaurant,NYC,ChIJjYaWyFb1wokRcYFin-9OBbQ,"475 Bruckner Blvd, Bronx, NY 10455",5.0,200,https://lh3.googleusercontent.com/gps-cs-s/AHVAweotkvEhn1TRnxNoLaiEpFdgrkQP9WylUwyOs-HAq1t8mtJR_kLmr8rgyek3VYG9Ag-f5R9kUKh9DYcjWgqNvuPXqOJR7M6f2wNvsVH1Eh0S4YXYaY9BLnUCyL9ptrsJTvRja6uH2ScI4589=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Boca%20-%20Chicken%20Cafe&query_place_id=ChIJjYaWyFb1wokRcYFin-9OBbQ
r_67dc9b,Pine Restaurant,East Bronx,Italian,NYC,ChIJIcUqAKP0wokRJzfqJIeeYkA,"1913 Bronxdale Ave, Bronx, NY 10462",4.5,4747,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAR2M1rKs1tyHlwxoKTKHDXSzxKV_7D55O30MPGio0uf-2uu9fXjQGzRkiaVIGdRc36hqHIA353XbvNnjKnu-Zn4QUutDDTSrH8xvptcn9Ba_I_VG4sdiWOXJSylynGGZSUd0Frw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Pine%20Restaurant&query_place_id=ChIJIcUqAKP0wokRJzfqJIeeYkA
r_acb176,Nana's Kitchen,East Bronx,Mediterranean,NYC,ChIJM0JDlaX0wokRDjesSHnSNc8,"1809 Hone Ave, Bronx, NY 10461",4.6,214,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqHiG9XAyH7IWX19ZZZf-Jj5Q_Kb2170P3tC1UX9x4PLrcTBfgtJkwvbbcb78mVzuFNWdsRZ1tcWu6y3h63lawHXMlnTHxoEYvNuJoghmqk-YVHVaavH9zQjr5lE07VRjaei7nI=w442-h240-k-no,https://www.google.com/maps/search/?api=1&query=Nana's%20Kitchen&query_place_id=ChIJM0JDlaX0wokRDjesSHnSNc8
r_4e0ca9,Step In,East Bronx,American,NYC,ChIJvZeUH8H0wokRR6HyeGlF5AA,"1309 Metropolitan Ave, Bronx, NY 10462",4.4,1115,https://lh3.googleusercontent.com/gps-cs-s/AHVAweosATfJMtindN68Wsgg_cl5-IBGRX-AGzV4p3vzB-zCvLwiNG1gutJ5wvhXyWGirO-t5Niz4fTreL4P6aio_m_mNfrwJRMOdl950pn0ePWbY6_wHUPyf9e-2tHZWyHuuE6ydwY=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Step%20In&query_place_id=ChIJvZeUH8H0wokRR6HyeGlF5AA
r_4d11f1,Mojitos,Jackson Heights,American,NYC,ChIJJ1gMKadfwokRZHzqWJeEf0I,"81-01 Northern Blvd, Jackson Heights, NY 11372",4.8,2237,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqhM5h_Z5qW912L8JxOPwanAKHNLopDWbL64Drp-t7q_2IFnF0S0sPhMw3L5fTNRpylWx8H8a3GZWz8Dp65-ML-gQAlKWTuVbR-MsQKLXdjNYVxXdn-FCsOXNdDQeSyZxZ7nZdtoLa4lxHo=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Mojitos&query_place_id=ChIJJ1gMKadfwokRZHzqWJeEf0I
r_3a9e3c,Lava Rock Kitchen,East Bronx,Italian,NYC,ChIJYZtTKRf1wokRhIdo4iq_o1o,"2119 Starling Ave 2nd Floor, Bronx, NY 10462",4.6,231,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq7v5o7ZqwRAK5WPiB5RxDBZtD_0r1U2ImgpzlCyBkB8T_0STiwTkZUUvN5CiP468oCBFk3MqNEN6-1brziiJfE8YSpCST8CvZWpyjRzK22g3XDbESnRKNHEp82o7bF8dCDsYkA=w408-h256-k-no,https://www.google.com/maps/search/?api=1&query=Lava%20Rock%20Kitchen&query_place_id=ChIJYZtTKRf1wokRhIdo4iq_o1o
