restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url,price_midpoint,lat,lng,distance_to_times_sq_km,polarization,rating_skew,one_star_pct,five_star_pct,google_review_count,images_count,has_popular_times,num_categories,postal_code,pct_reviews_with_text,local_keyword_density,tourist_keyword_density,quality_keyword_density,meh_keyword_density,local_vs_tourist_ratio,avg_review_length,p_safe_pick,cluster,archetype
r_a1beda,50.0,0.1724546134846001,0.0,0.98,4.58188243426287,4.555439855258216,0.0,4.58188243426287,21 Greenpoint,Greenpoint,American,NYC,ChIJp4jIhmpZwokRabZfKVJPoBY,"21 Greenpoint Ave, Brooklyn, NY 11222",4.4,349.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqfRhEiUzbM4_gT9gx_t_XRNKEbZtvoGmg7IuZSWQlBlDWXCqFTlUpUhGAMVPyIDgK3ZsRT5fEWsBv7oca41-aQDYumk4vNJ1yls7VJoIkbG57Ydu4b1O044_YhjIqWKq36xtA=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=21%20Greenpoint&query_place_id=ChIJp4jIhmpZwokRabZfKVJPoBY,35.0,40.7298071,-73.9599282,3.81,0.7277936962750716,10.0,0.0343839541547277,0.6934097421203438,349.0,273.0,0,1,11222.0,0.76,0.2368421052631578,0.0263157894736842,0.4210526315789473,0.0526315789473684,9.0,254.3421052631579,0.4753172628186745,0,Universally Loved
r_a1f7ab,50.0,0.18365498410849684,0.0,0.94,3.807097144157389,4.092396682108589,0.2852995379512002,3.6644473751817888,Pig Heaven,Upper East Side,Chinese,NYC,ChIJV85Oz75YwokREEwM6yxMNtk,"1420 3rd Ave, New York, NY 10028",4.3,689.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoheUaa1L5WlsFJgNxnrqJuvA_oYoT00iKZhQlUhMYO9_g3QibFKVsZome2TSBl9LOH89Yzpu0nqgEG_YGFGXv0jXZ0m6AHIlpx7S0CWn9IX5eM4C1wQroJERFBVCe49HwAkBk=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Pig%20Heaven&query_place_id=ChIJV85Oz75YwokREEwM6yxMNtk,35.0,40.775432,-73.956852,3.11,0.7126269956458636,10.0,0.0638606676342525,0.648766328011611,689.0,4570.0,1,5,10028.0,0.78,0.1282051282051282,0.0512820512820512,0.3076923076923077,0.2307692307692307,2.5,282.79487179487177,0.3422215434283743,1,Tourist Trap
r_a27aad,50.0,0.21663387824843064,0.02,0.88,4.437940943548838,4.185260953882894,0.0,4.437940943548838,Radio Star,Greenpoint,Brunch,NYC,ChIJMVIviv5ZwokRZOz215uVhGo,"13 Greenpoint Ave, Brooklyn, NY 11222",4.6,220.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepg5xTdAfQYyBkP8dJHfhkO59ov_VU-h9wCHSc-RRnDXqZAfM6B5OsWiYQkqweMf1dWZdUxJZdqAPSN8C3s7BE7-zkHdLkIEkaOTPR5zQKEXGht6ARWuCrZGRvGQcWQM9oiGmU=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Radio%20Star&query_place_id=ChIJMVIviv5ZwokRZOz215uVhGo,25.0,40.7297963,-73.9601592,3.8,0.8545454545454545,10.0,0.05,0.8045454545454546,220.0,144.0,1,5,11222.0,0.5,0.12,0.08,0.36,0.0,1.5,218.24,0.3742012109314486,0,Universally Loved
r_a27d59,50.0,0.2628462077638715,0.0,0.78,4.744459695535981,4.765541191185454,0.021081495649473148,4.733918947711244,Essex,Lower East Side,Mediterranean,NYC,ChIJ7fydz4BZwokRDDwDLrzF5ts,"124 Rivington St, New York, NY 10002",4.8,8695.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepE5K1Hk3VzcKRjoOvAnqGRSbm1VfXHG5GI_IJtA6YV8_IrVo8bHuXxIXLKHhbJQXPlYcZa3yAd-wyWhwAPTXPXGqm_EUUe5vNdXLp-3CSaKE5PRWstbTaEMgCfd6CYxMplGCoNDJ4qz97n=w408-h310-k-no,https://www.google.com/maps/search/?api=1&query=Essex&query_place_id=ChIJ7fydz4BZwokRDDwDLrzF5ts,,40.719819,-73.9870967,4.24,0.8852213916043703,10.0,0.0105807935595169,0.8746405980448534,8695.0,1979.0,1,6,10002.0,0.96,0.1041666666666666,0.0416666666666666,0.4791666666666667,0.0208333333333333,2.5,122.70833333333331,0.448776611842573,4,Hidden Gem
r_a2a987,50.0,0.19637720160930608,0.02,0.92,4.436407304734374,4.590201716133762,0.15379441139938788,4.359510099034679,L’industrie Pizzeria - West Village,West Village,Pizza,NYC,ChIJ92OsaJVZwokRsC54kf-J-3g,"104 Christopher St, New York, NY 10014",4.7,3091.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyjp4JWsAOBaSnnK2wzfGS4t7BOQj3m1Pd-wJuTT0izeHrHE4UXdK6_B4ANWO3mDqUf7Ga-zO5FdwKD-MJzsd5wR6jxVSDmTquN55wQqtt_Dr60qiNmzdlAnTNjZ1GiOJ6sYP3KLRMHOd1=w408-h418-k-no,https://www.google.com/maps/search/?api=1&query=L%E2%80%99industrie%20Pizzeria%20-%20West%20Village&query_place_id=ChIJ92OsaJVZwokRsC54kf-J-3g,15.0,40.7332224,-74.0049081,3.207,0.8185053380782918,10.0,0.0152054351342607,0.8032999029440311,3091.0,3987.0,1,1,10014.0,0.66,0.1212121212121212,0.2424242424242424,0.1515151515151515,0.0303030303030303,0.5,273.2121212121212,0.6093671993537881,1,Tourist Trap
r_a2d548,50.0,0.23081118916249682,0.0,0.84,4.803287300946603,4.721009321788671,0.0,4.803287300946603,Thai Villa,East Village,Thai,NYC,ChIJfd-PtKNZwokR-m-0kzVTgBs,"5 E 19th St, New York, NY 10003",4.7,7546.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwernjdirPr4T9_n4rw-GVfXGjoWAN45WJ_4eFapBCEfrSgSzTQycV5QrN27KAi8KkA5mweVGVurmd-QAnok0ywlE9RGXiB5BSXxQLBJcFn5puBIfgXm7f--NAhnE3YbaePvMpHFd=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Thai%20Villa&query_place_id=ChIJfd-PtKNZwokR-m-0kzVTgBs,40.0,40.7390045,-73.9906704,2.154,0.8221574344023324,10.0,0.0213358070500927,0.8008216273522396,7546.0,11070.0,1,1,10003.0,0.82,0.073170731707317,0.024390243902439,0.4634146341463415,0.048780487804878,3.0,184.3170731707317,0.5678255986684506,0,Universally Loved
r_a31268,50.0,0.20331708188358877,0.02,0.92,4.342022981302292,4.213963274005563,0.0,4.342022981302292,GoodFellas Pizzeria of L.I.C.,Long Island City,Pizza,NYC,ChIJicgjodRYwokRRe9iEqIfTvA,"25-19 40th Ave, Long Island City, NY 11101",4.7,1147.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoTMQ94eRM323q3CdoKKcPq8Kmt3Pq_vLfGtRU32ujIwW2XpE2ZAlriZHx9ClpqIJsjC_dhlmRQgD_WonWXoO_mEYf3oSinTBOrGf2cpOZ_TZLBhpk0gi2xMY_1kApupa1iSP7o=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=GoodFellas%20Pizzeria%20of%20L.I.C.&query_place_id=ChIJicgjodRYwokRRe9iEqIfTvA,5.5,40.7532433,-73.9373224,4.129,0.8744551002615518,10.0,0.025283347863993,0.8491717523975588,1147.0,240.0,0,4,11101.0,0.74,0.1351351351351351,0.1621621621621621,0.1621621621621621,0.1621621621621621,0.8333333333333334,135.2972972972973,0.34476357577959044,0,Universally Loved
r_a35788,50.0,0.22888594925801484,0.0,0.82,4.838481868856193,4.840450619318392,0.0019687504621987983,4.837497493625094,Ahgassi Korean Barbecue,Murray Hill,Korean,NYC,ChIJjc7gVtxZwokRN3Fzss0eS4g,"1 E 32nd St, New York, NY 10016",4.8,2781.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepz2EPDr1f2P6J1XVB4Df2I2ooRrhMbyliKY0-gs09zJ3SF1CQIi361iJlV0h8sIBvoYrMcDuG4WCK_Rmpx277E2RQgix5rS6__YZxd4TUHHWwDAhK6pcGdbiEyQ3mLzc-z_2Pbyg=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Ahgassi%20Korean%20Barbecue&query_place_id=ChIJjc7gVtxZwokRN3Fzss0eS4g,55.0,40.7470799,-73.9850233,1.213,0.9057892844300612,10.0,0.0165408126573175,0.8892484717727436,2781.0,1599.0,1,5,10016.0,0.86,0.1162790697674418,0.0697674418604651,0.5813953488372093,0.0,1.6666666666666667,253.88372093023256,0.6808891302726857,0,Universally Loved
r_a39bd5,50.0,0.3016548176747722,0.0,0.74,4.297425879920738,4.272472775980483,0.0,4.297425879920738,Seis Vecinos,West Bronx,Mexican,NYC,ChIJb4LjG7r1wokRyAd4TrnrVeQ,"640 Prospect Ave, Bronx, NY 10455",4.1,2292.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerR0AYHjNRV3MCn-gVE0KKB15GNBCsKXcuGDLdSajUqPgcnLuCmHLC_mrdr2kZzlI3qOA255b40hmtJJ4B3fpQY8UsO2E3qLkh-xidJJJdsQG4Ple-_4FNpNMkX6MtPB1PR-6S_LA=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Seis%20Vecinos&query_place_id=ChIJb4LjG7r1wokRyAd4TrnrVeQ,25.0,40.8154018,-73.9029598,9.477,0.6963350785340314,4.933085501858736,0.1173647469458987,0.5789703315881326,2292.0,2414.0,1,8,10455.0,0.64,0.0,0.03125,0.25,0.0,0.0,100.03125,0.37009676208702474,4,Hidden Gem
r_a40106,50.0,0.23538916109284627,0.0,0.86,4.395033146094722,4.480000361571466,0.0849672154767438,4.3525495383563495,Istanbul Bay Authentic Mediterranean Restaurant,Stapleton Heights,Mediterranean,NYC,ChIJfWzrYX1PwokRK2EIYuXqRwQ,"500-502 Bay St, Staten Island, NY 10304",4.8,537.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepNvh0ad1PLiKoO18778r9ws9HGLq3saSP0tLs6hgwot4X6_OgQBRwKmwOYZlFl_bYBh03oxLPwy6rWHBhvnCNEQYLgq0ag7EGKqi6Q533uF45_6cWUQw6y45TTFSV8veF8qL89oZOkSCwC=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Istanbul%20Bay%20Authentic%20Mediterranean%20Restaurant&query_place_id=ChIJfWzrYX1PwokRK2EIYuXqRwQ,25.0,40.6297799,-74.07693,16.216,0.947858472998138,10.0,0.031657355679702,0.9162011173184358,537.0,883.0,1,6,10304.0,0.8,0.175,0.05,0.3,0.05,3.5,166.9,0.35463165321043727,0,Universally Loved
